BRANCH ID,BRANCH NAME,BRANCH WAREHOUSE NAME,BRANCH KEYWORD
ALANO,ALANO,ALANO 2018,ALANO 2018
CATALINA,STA CATALINA,STA CATALINA 2019,STA CATALINA 2019
CITIMART,CITIMART,CITI MART ,CITI MART 
CPCAWA,CAWA,CAWA CAWA 2019,CAWA 2019
DIVISORIA,DIVISORIA,DIVISORIA 2019,DIVISORIA 2019
GUIWAN,GUIWAN - OLD,GUIWAN OLD 2019,GUIWAN OLD 2019
GUIWANTERMINAL,GUIWAN - TERMINAL,GUIWAN TERMINAL 2017,GUIWAN TERMINAL 2017
GUSU,GUSU,GUSU 2018,GUSU 2018
IPIL,IPIL,IPIL,IPIL
SANJOSE,SAN JOSE,SAN JOSE MAIN 2019,SAN JOSE
SANROQ,SAN ROQUE,SAN ROQUE 2019,SAN ROQUE 2019
SCCGUSU,WEST GUSU,SCC WEST GUSU 2019,SCC WEST GUSU 2019
STACRUZ1,STACRUZ,STA CRUZ 2019,STA CRUZ 2019
STAMARIA1,STA MARIA 1,STA MARIA 1 2019,STA MARIA 1 2019
STAMARIA2,STA MARIA 2,STA MARIA 2 2019,STA MARIA 2 2019
TALON,TALON TALON,TALON-TALON 2018,TALON-TALON 2018
TETUAN,TETUAN,TETUAN 2018,TETUAN 2018
TETUANYUBENCO,TETUAN YUBENCO,TETUAN YUBENCO 2017,TETUAN YUBENCO 2017
TUGBUNGAN,TUGBUNGAN,TUGBUNGAN 2018,TUGBUNGAN 2018
TUMAGA,TUMAGA,CPCS TUMAGA 2  2021,TUMAGA 2 
VET2,NEW VETERANS 2,VET 2,VET
MW1,MAIN WAREHOUSE1,MAIN WAREHOUSE 2020,MAIN WAREHOUSE 2020
