Product ID,Name,UOM,UOM VALUE,Alternate Code,Principal ID,Principal Name,Price
PI0104201618,(IS) SWISH PEPPERMINT  60ML,PCS,0,,13060400005,Unilab,0
PI2018000000140,ACICLOVIR 200MC TAB PHAREX,TAB,30,600115,13060400005,Unilab,0
PI0108201348,ACICLOVIR CRM 5GM (ACIHERPIN),PCS,0,,13060400005,Unilab,0
PI2020000000237,ALAGANG UNILAB HEALTH KIT,PCK,0,,13060400005,Unilab,0
PI000000000139,ALAXAN FR CAP,CAP,100,153263,13060400005,Unilab,0
PI0108201548,ALAXAN FR CAP 10'S,PCK,0,153262,13060400005,Unilab,0
PI0108201548-PRO,ALAXAN FR CAP 10'S PRO,PCK,0,,13060400005,Unilab,0
PI2019000000337,ALAXAN FR CAP 5+1,PCK,1,,13060400005,Unilab,0
PI0101202040,ALAXAN FR CAP 8+2,PCK,20,,13060400005,Unilab,0
PI0104201504,ALAXAN FR SAVE 10.00,PCS,1,,13060400005,Unilab,0
PI0105201601,ALAXAN FRT CAP 4+1,PCK,40,156986,13060400005,Unilab,0
PI000000000141,ALAXAN NEW TAB,PCS,500,,13060400005,Unilab,0
PI000000000142,ALAXAN NEW TAB 4+1,PCK,0,,13060400005,Unilab,0
PI000000000140,ALAXAN NEW TAB 8+2,PCK,0,,13060400005,Unilab,0
PI000000000157,ALENDRA 70MG TAB,PCS,4,,13060400005,Unilab,0
PI000000000170,ALGESIA 37.5MG/325MG TAB,TAB,50,154707,13060400005,Unilab,0
PI2018000000348,ALGINA ORAL SUSP SACHET 10ML,PCS,100,158093,13060400005,Unilab,0
PI0105201517,ALLERIN SYR 60ML,PCS,0,,13060400005,Unilab,0
PI000000000173,ALLERKID DROP 10ML,PCS,0,,13060400005,Unilab,0
PI000000000174,ALLERKID SYR 30ML,PCS,0,,13060400005,Unilab,0
PI000000000175,ALLERKID SYR 60ML,PCS,0,,13060400005,Unilab,0
PI000000000176,ALLERTA 10MG TAB,TAB,50,141675,13060400005,Unilab,0
PI2021000000199,ALLERTA 10MG TAB 4'S PROMO,PCK,25,,13060400005,Unilab,0
PI000000000177,ALLERTA 10MG TAB 4+1,PCS,0,,13060400005,Unilab,0
PI2018000000423,ALLERTA 10MG TAB 5'S,TAB,1,16813,13060400005,Unilab,0
PI2018000000300,ALLERTA 10MG TAB 5+1,PCK,1,161831,13060400005,Unilab,0
PI000000000178,ALLERTA 5MG SYR 30ML,PCS,0,,13060400005,Unilab,0
PI000000000179,ALLERTA 5MG SYR 60ML,PCS,0,,13060400005,Unilab,0
PI0101201694,ALLERTA DERMA CRM 5GM,PCS,1,155608,13060400005,Unilab,0
PI0101201695,ALLERTA DERMA OINT 5GM,PCS,1,155607,13060400005,Unilab,0
PI000000000180,ALLERTA QR 10MG TAB,PCS,0,,13060400005,Unilab,0
PI0101202051,ALLERTEEN 10MG TAB,PCS,100,,13060400005,Unilab,0
PI0000000051083,ALLERZET 5MG TAB,TAB,100,154720,13060400005,Unilab,0
PI000000000181,ALLERZET SYR 30ML,PCS,1,154718,13060400005,Unilab,0
PI000000000182,ALLERZET SYR 60ML,PCS,1,154719,13060400005,Unilab,0
PI000000000191,ALNIX 10MG TAB,TAB,100,140885,13060400005,Unilab,0
PI000000000192,ALNIX 2.5MG DRP 10ML,PCS,1,151984,13060400005,Unilab,0
PI000000000193,ALNIX 5MG SYR 30ML,PCS,1,151983,13060400005,Unilab,0
PI000000000194,ALNIX 5MG SYR 60ML,PCS,0,,13060400005,Unilab,0
PI000000000195,ALNIX PLUS SYR 60ML,PCS,1,153069,13060400005,Unilab,0
PI000000000196,ALNIX PLUS TAB,TAB,100,152083,13060400005,Unilab,0
PI000000000249,AMELEX 75MG CAP,PCS,0,,13060400005,Unilab,0
PI000000005679,AMENA 2.5MG TAB,PCS,1,,13060400005,Unilab,0
PI000000005680,AMIABEL 200MG TAB,TAB,30,152439,13060400005,Unilab,0
PI000000005681,AMIABEL 400MG TAB,TAB,30,152442,13060400005,Unilab,0
PI000000000250,AMIKACIDE 100MG/2ML AMP,PCS,5,140682,13060400005,Unilab,0
PI000000000251,AMIKACIDE 250MG AMP 2ML,PCS,5,140683,13060400005,Unilab,0
PI000000000252,AMIKACIDE 500MG AMP 2ML,PCS,5,140684,13060400005,Unilab,0
PI0103201510,AMLIFE 100MG/ 5MG TAB,TAB,30,156131,13060400005,Unilab,0
PI0103201510-S15,AMLIFE 100MG/ 5MG TAB  15'S,PCK,1,,13060400005,Unilab,0
PI0103201510-S30,AMLIFE 100MG/ 5MG TAB  30'S,PCK,1,,13060400005,Unilab,0
PI0101202195,AMLIFE 100MG/10MG TAB,TAB,30,156130,13060400005,Unilab,0
PI0101202195-S15,AMLIFE 100MG/10MG TAB  15'S,PCK,1,,13060400005,Unilab,0
PI0101202195-S30,AMLIFE 100MG/10MG TAB  30'S,PCK,1,,13060400005,Unilab,0
PI0101202194,AMLIFE 50MG/5MG TAB,TAB,30,156132,13060400005,Unilab,0
PI0101202194-S15,AMLIFE 50MG/5MG TAB  15'S,PCK,1,,13060400005,Unilab,0
PI0101202194-S30,AMLIFE 50MG/5MG TAB  30'S,PCK,1,,13060400005,Unilab,0
PI2017000076,AMLIFE PLUS 100/10/12.5MG TAB,PCS,50,157110,13060400005,Unilab,0
PI2017000075,AMLIFE PLUS 100/5/12.5MG TAB,PCS,50,157111,13060400005,Unilab,0
PI2017000077,AMLIFE PLUS 50/5/12.5MG TAB,PCS,50,157112,13060400005,Unilab,0
PI20170000436,AMLODIPINE (PHAREX) 10MG,TAB,100,,13060400005,Unilab,0
PI20170000437,AMLODIPINE (PHAREX) 5MG,TAB,100,,13060400005,Unilab,0
PI000000000282,AMOCLAV  156/5ML SUSP 60ML,PCS,0,157114,13060400005,Unilab,0
PI000000000283,AMOCLAV  312/5ML SUSP 60ML,PCS,0,157113,13060400005,Unilab,0
PI000000000284,AMOCLAV  375MG TAB,PCS,30,140114,13060400005,Unilab,0
PI000000000285,AMOCLAV  600MG VL,PCS,0,,13060400005,Unilab,0
PI000000000286,AMOCLAV  625MG TAB,TAB,15,140191,13060400005,Unilab,0
PI000000000288,AMOCLAV 1.2 VL,PCS,0,,13060400005,Unilab,0
PI000000000287,AMOCLAV 1GM TAB,PCS,10,,13060400005,Unilab,0
PI000000000289,AMOCLAV 228.5MG SUSP 70ML,PCS,1,,13060400005,Unilab,0
PI000000000290,AMOCLAV 457MG SUSP 35ML,PCS,0,,13060400005,Unilab,0
PI000000000291,AMOCLAV 457MG SUSP 70ML,PCS,1,152090,13060400005,Unilab,0
PI000000000325,AMPICIN  250MG INJ VL,PCS,1,157449,13060400005,Unilab,0
PI000000000326,AMPICIN  500MG INJ VL,PCS,1,157436,13060400005,Unilab,0
PI000000000327,AMPICIN B 250MG CAP,PCS,0,,13060400005,Unilab,0
PI000000000328,AMPICIN B 500MG CAP,CAP,100,151893,13060400005,Unilab,0
PI01122013009,AMPIMAX  750MG TAB,TAB,10,154776,13060400005,Unilab,0
PI0000000051084,AMPIMAX  750MG VL,PCS,10,,13060400005,Unilab,0
PI0000000051085,AMPIMAX 1.5MG VL,PCS,1,,13060400005,Unilab,0
PI000000000332,AMVASC BE  5MG TAB,TAB,50,141653,13060400005,Unilab,0
PI000000000332-S15,AMVASC BE  5MG TAB  15'S,PCK,1,,13060400005,Unilab,0
PI000000000332-S30,AMVASC BE  5MG TAB  30'S,TAB,1,,13060400005,Unilab,0
PI000000000333,AMVASC BE 10MG TAB,TAB,50,141652,13060400005,Unilab,0
PI000000000333-S15,AMVASC BE 10MG TAB  15'S,PCK,1,,13060400005,Unilab,0
PI000000000333-S30,AMVASC BE 10MG TAB  30'S,PCK,1,,13060400005,Unilab,0
PI000000000335,AMVASC PLUS  5MG/12.5MG TAB,TAB,30,154027,13060400005,Unilab,0
PI000000000335-S15,AMVASC PLUS  5MG/12.5MG TAB 15'S,PCK,1,,13060400005,Unilab,0
PI000000000335-S30,AMVASC PLUS  5MG/12.5MG TAB 30'S,PCK,1,,13060400005,Unilab,0
PI000000000334,AMVASC PLUS 10MG/12.5MG TAB,TAB,30,154029,13060400005,Unilab,0
PI000000000334-S15,AMVASC PLUS 10MG/12.5MG TAB 15'S,PCK,1,,13060400005,Unilab,0
PI000000000334-S30,AMVASC PLUS 10MG/12.5MG TAB 30'S,PCK,1,,13060400005,Unilab,0
PI0108201512,ANAZOLE 1MG TAB,TAB,28,154625,13060400005,Unilab,0
PI000000000342,ANDROS  25MG TAB,TAB,5,106522,13060400005,Unilab,0
PI000000000343,ANDROS  50MG TAB,TAB,5,141062,13060400005,Unilab,0
PI000000000344,ANDROS 100MG TAB,TAB,5,106462,13060400005,Unilab,0
PI0110201506,ANSERM 60MG TAB,TAB,30,155971,13060400005,Unilab,0
PI000000000384,APPEBON 500 SYR  60ML,PCS,0,,13060400005,Unilab,0
PI000000000385,APPEBON 500 SYR 120ML,PCS,0,,13060400005,Unilab,0
PI000000000386,APPEBON 500 TAB,PCS,0,,13060400005,Unilab,0
PI000000000387,APPEBON KID SYR  60ML,PCS,0,,13060400005,Unilab,0
PI000000000388,APPEBON KID SYR 120ML,PCS,0,,13060400005,Unilab,0
PI000000000389,APPEBON KID SYR 250ML,PCS,0,,13060400005,Unilab,0
PI000000000390,APPEBON W/FE CAP,CAP,100,140146,13060400005,Unilab,0
PI000000000391,APPEBON W/FE SYR  60ML,PCS,1,151911,13060400005,Unilab,0
PI000000000392,APPEBON W/FE SYR 120ML,PCS,0,151912,13060400005,Unilab,0
PI000000000434,ASCORBIC 500MG TAB UHP,PCS,0,,13060400005,Unilab,0
PI000000000443,ASIAN SECRET BETEL SOAP 100GM,PCS,0,,13060400005,Unilab,0
PI000000000444,ASIAN SECRET CRM/SCRUB 135GM,PCS,0,,13060400005,Unilab,0
PI000000000445,ASIAN SECRET CRM/SCRUB 250GM,PCS,0,,13060400005,Unilab,0
PI0101201635,ASIAN SECRET G TEA SACHET,PCS,12,,13060400005,Unilab,0
PI000000000446,ASIAN SECRET LRICE CRM 250GM,PCS,0,,13060400005,Unilab,0
