Branch,Product ID,Principal ID,Product,Qty,Total,%,Cost,Tax,Gross Profit
ALANO,PI000000000139,13060400005,ALAXAN FR CAP,1685,13311.5,0.1%,12694.67,1426.25,-809.42
ALANO,PI2019000000337,13060400005,ALAXAN FR CAP 5+1,68,2669,0.0%,2561.54,285.96,-178.5
ALANO,PI000000000170,13060400005,ALGESIA 37.5MG/325MG TAB,80,4072,0.0%,3856.41,436.3,-220.71
ALANO,PI2018000000348,13060400005,ALGINA ORAL SUSP SACHET 10ML,41,1055.75,0.0%,1005.19,113.13,-62.57
ALANO,PI000000000173,13060400005,ALLERKID DROP 10ML,6,930,0.0%,894.65,99.65,-64.3
ALANO,PI000000000174,13060400005,ALLERKID SYR 30ML,5,709.75,0.0%,682.5,76.05,-48.8
ALANO,PI000000000175,13060400005,ALLERKID SYR 60ML,5,1287.5,0.0%,1225.8,137.95,-76.25
ALANO,PI000000000182,13060400005,ALLERZET 2.5MG SYR 60ML,1,229.25,0.0%,218.24,24.56,-13.55
ALANO,PI000000000191,13060400005,ALNIX 10MG TAB,5,144.5,0.0%,137.6,15.48,-8.58
ALANO,PI000000000192,13060400005,ALNIX 2.5MG DRP 10ML,1,187,0.0%,177.58,20.04,-10.62
ALANO,PI000000000195,13060400005,ALNIX PLUS SYR 60ML,1,293,0.0%,278.48,31.39,-16.87
ALANO,PI000000000196,13060400005,ALNIX PLUS TAB,5,109,0.0%,103.75,11.68,-6.43
ALANO,PI0103201510,13060400005,AMLIFE 100MG/ 5MG TAB,6,167.4,0.0%,159.2,0,8.2
ALANO,PI0101202195,13060400005,AMLIFE 100MG/10MG TAB,42,1267.5,0.0%,1299.92,0,-32.42
ALANO,PI0101202194,13060400005,AMLIFE 50MG/5MG TAB,151,3510.75,0.0%,3338.76,0,171.99
ALANO,PI000000000286,13060400005,AMOCLAV  625MG TAB,3,133.5,0.0%,139.32,0,-5.82
ALANO,PI000000000332,13060400005,AMVASC BE  5MG TAB,46,770,0.0%,842.03,0,-72.03
ALANO,PI000000000333,13060400005,AMVASC BE 10MG TAB,46,1312.5,0.0%,1369.33,0,-56.83
ALANO,PI000000000334,13060400005,AMVASC PLUS 10MG/12.5MG TAB,24,738,0.0%,703.11,0,34.89
ALANO,PI000000000387,13060400005,APPEBON KID SYR  60ML,3,313.5,0.0%,298.5,33.6,-18.6
ALANO,PI000000000388,13060400005,APPEBON KID SYR 120ML,8,1407.6,0.0%,1340.71,150.8,-83.91
ALANO,PI000000000389,13060400005,APPEBON KID SYR 250ML,3,976.5,0.0%,930.45,104.64,-58.59
ALANO,PI000000000390,13060400005,APPEBON W/FE CAP,135,2700,0.0%,2573.13,289.28,-162.41
ALANO,PI000000000391,13060400005,APPEBON W/FE SYR  60ML,1,262.5,0.0%,249.94,28.13,-15.57
ALANO,PI000000000454,13060400005,ASMALIN 100MCG NON CFC,1,394.95,0.0%,375.68,42.32,-23.05
ALANO,PI000000000455,13060400005,ASMALIN 2.5 PULMO NEB,31,790.5,0.0%,752.8,84.69,-46.99
ALANO,PI000000000456,13060400005,ASMALIN 2MG SYR 60ML,1,116.25,0.0%,110.56,12.46,-6.77
ALANO,PI000000000463,13060400005,ASPILETS 80MG TAB,765,2473.25,0.0%,2223.09,0,250.16
ALANO,PI000000000464,13060400005,ASPILETS EC 80MG TAB,117,356.85,0.0%,340.35,0,16.5
ALANO,PI000000000470,13060400005,ATEPROS 5MG TAB,1,60.9,0.0%,57.93,6.53,-3.56
