Branch,Product ID,Principal ID,Product,Qty,Total,%,Cost,Tax,Gross Profit
ALANO,PI000000000139,13060400005,ALAXAN FR CAP,2076,16296.6,0.1%,15640.38,1746.06,-1089.84
ALANO,PI2019000000337,13060400005,ALAXAN FR CAP 5+1,132,5181,0.0%,4972.4,555.1,-346.5
ALANO,PI000000000170,13060400005,ALGESIA 37.5MG/325MG TAB,51,2421.38,0.0%,2352.63,212.7,-143.95
ALANO,PI2018000000348,13060400005,ALGINA ORAL SUSP SACHET 10ML,103,2652.25,0.0%,2404.98,284.18,-36.91
ALANO,PI000000000173,13060400005,ALLERKID DROP 10ML,10,1550,0.0%,1491.07,166.07,-107.14
ALANO,PI000000000174,13060400005,ALLERKID SYR 30ML,9,1277.55,0.0%,1228.5,136.89,-87.84
ALANO,PI000000000175,13060400005,ALLERKID SYR 60ML,10,2575,0.0%,2451.6,275.9,-152.5
ALANO,PI000000000176,13060400005,ALLERTA 10MG TAB,37,823.25,0.0%,777.63,88.22,-42.6
ALANO,PI2021000000199,13060400005,ALLERTA 10MG TAB 4'S PROMO,9,792,0.0%,756.36,84.87,-49.23
ALANO,PI000000000177,13060400005,ALLERTA 10MG TAB 4+1,1,88,0.0%,84.04,9.43,-5.47
ALANO,PI0000000051083,13060400005,ALLERZET 5MG TAB,10,219,0.0%,207.87,23.46,-12.33
ALANO,PI000000000191,13060400005,ALNIX 10MG TAB,32,924.8,0.0%,880.66,99.08,-54.94
ALANO,PI000000000192,13060400005,ALNIX 2.5MG DRP 10ML,1,187,0.0%,177.58,20.04,-10.62
ALANO,PI000000000193,13060400005,ALNIX 5MG SYR 30ML,2,324,0.0%,308.86,34.72,-19.58
ALANO,PI000000000194,13060400005,ALNIX 5MG SYR 60ML,2,530,0.0%,509.68,56.78,-36.46
ALANO,PI0103201510,13060400005,AMLIFE 100MG/ 5MG TAB,14,379.44,0.0%,371.47,0,7.97
ALANO,PI0101202195,13060400005,AMLIFE 100MG/10MG TAB,135,3997.5,0.0%,4178.96,0,-181.46
ALANO,PI0101202194,13060400005,AMLIFE 50MG/5MG TAB,83,1929.75,0.0%,1835.22,0,94.53
ALANO,PI000000000289,13060400005,AMOCLAV 228.5MG SUSP 70ML,1,277,0.0%,263.77,29.68,-16.45
ALANO,PI000000000332,13060400005,AMVASC BE  5MG TAB,67,1147.3,0.0%,1179.34,0,-32.04
ALANO,PI000000000333,13060400005,AMVASC BE 10MG TAB,73,1906.25,0.0%,2112.1,0,-205.85
