Branch,Product ID,Principal ID,Product,Qty,Total,%,Cost,Tax,Gross Profit
ALANO,PI000000000139,13060400005,ALAXAN FR CAP,2781,21830.85,0.2%,20951.76,2339,-1459.91
ALANO,PI2019000000337,13060400005,ALAXAN FR CAP 5+1,64,2512,0.0%,2410.86,269.15,-168.01
ALANO,PI000000000170,13060400005,ALGESIA 37.5MG/325MG TAB,29,1417.92,0.0%,1337.77,136.35,-56.2
ALANO,PI2018000000348,13060400005,ALGINA ORAL SUSP SACHET 10ML,72,1854,0.0%,1723.17,198.65,-67.82
ALANO,PI000000000173,13060400005,ALLERKID DROP 10ML,12,1860,0.0%,1789.29,199.29,-128.58
ALANO,PI000000000174,13060400005,ALLERKID SYR 30ML,8,1135.6,0.0%,1092,121.68,-78.08
ALANO,PI000000000175,13060400005,ALLERKID SYR 60ML,8,2060,0.0%,1961.28,220.72,-122
ALANO,PI000000000176,13060400005,ALLERTA 10MG TAB,29,645.25,0.0%,609.49,69.14,-33.38
ALANO,PI2021000000199,13060400005,ALLERTA 10MG TAB 4'S PROMO,5,440,0.0%,420.2,47.15,-27.35
ALANO,PI0000000051083,13060400005,ALLERZET 5MG TAB,5,109.5,0.0%,103.94,11.73,-6.17
ALANO,PI000000000182,13060400005,ALLERZET SYR 60ML,1,229.25,0.0%,218.24,24.56,-13.55
ALANO,PI000000000191,13060400005,ALNIX 10MG TAB,29,838.1,0.0%,798.1,89.8,-49.8
ALANO,PI000000000194,13060400005,ALNIX 5MG SYR 60ML,1,265,0.0%,254.84,28.39,-18.23
ALANO,PI000000000195,13060400005,ALNIX PLUS SYR 60ML,1,293,0.0%,278.48,31.39,-16.87
ALANO,PI0103201510,13060400005,AMLIFE 100MG/ 5MG TAB,44,1216.44,0.0%,1167.32,0,49.12
ALANO,PI0101202195,13060400005,AMLIFE 100MG/10MG TAB,67,1982.5,0.0%,2074,0,-91.5
ALANO,PI0101202194,13060400005,AMLIFE 50MG/5MG TAB,205,4577.93,0.0%,4532.76,0,45.17
ALANO,PI000000000287,13060400005,AMOCLAV 1GM TAB,1,71,0.0%,67.57,7.61,-4.18
ALANO,PI01122013009,13060400005,AMPIMAX  750MG TAB,10,830,0.0%,790.52,88.93,-49.45
ALANO,PI000000000332,13060400005,AMVASC BE  5MG TAB,58,1001,0.0%,1061.69,0,-60.69
