Product ID,Name,UOM,UOM VALUE,Alternate Code,Principal ID,Principal Name
PI0104201618,(IS) SWISH PEPPERMINT  60ML,PCS,0,,13060400005,Unilab
PI2018000000140,ACICLOVIR 200MC TAB PHAREX,TAB,30,600115,13060400005,Unilab
PI0108201348,ACICLOVIR CRM 5GM (ACIHERPIN),PCS,0,,13060400005,Unilab
PI2020000000237,ALAGANG UNILAB HEALTH KIT,PCK,0,,13060400005,Unilab
PI000000000139,ALAXAN FR CAP,CAP,100,153263,13060400005,Unilab
PI0108201548,ALAXAN FR CAP 10'S,PCK,0,153262,13060400005,Unilab
PI0108201548-PRO,ALAXAN FR CAP 10'S PRO,PCK,0,,13060400005,Unilab
PI2019000000337,ALAXAN FR CAP 5+1,PCK,1,,13060400005,Unilab
PI0101202040,ALAXAN FR CAP 8+2,PCK,20,,13060400005,Unilab
PI0104201504,ALAXAN FR SAVE 10.00,PCS,1,,13060400005,Unilab
PI0105201601,ALAXAN FRT CAP 4+1,PCK,40,156986,13060400005,Unilab
PI000000000141,ALAXAN NEW TAB,PCS,500,,13060400005,Unilab
PI000000000142,ALAXAN NEW TAB 4+1,PCK,0,,13060400005,Unilab
PI000000000140,ALAXAN NEW TAB 8+2,PCK,0,,13060400005,Unilab
PI000000000157,ALENDRA 70MG TAB,PCS,4,,13060400005,Unilab
PI000000000170,ALGESIA 37.5MG/325MG TAB,TAB,50,154707,13060400005,Unilab
PI2018000000348,ALGINA ORAL SUSP SACHET 10ML,PCS,100,158093,13060400005,Unilab
PI0105201517,ALLERIN SYR 60ML,PCS,0,,13060400005,Unilab
PI000000000173,ALLERKID DROP 10ML,PCS,0,,13060400005,Unilab
PI000000000174,ALLERKID SYR 30ML,PCS,0,,13060400005,Unilab
PI000000000175,ALLERKID SYR 60ML,PCS,0,,13060400005,Unilab
PI000000000176,ALLERTA 10MG TAB,TAB,50,141675,13060400005,Unilab
PI2021000000199,ALLERTA 10MG TAB 4'S PROMO,PCK,25,,13060400005,Unilab
PI000000000177,ALLERTA 10MG TAB 4+1,PCS,0,,13060400005,Unilab
PI2018000000423,ALLERTA 10MG TAB 5'S,TAB,1,16813,13060400005,Unilab
PI2018000000300,ALLERTA 10MG TAB 5+1,PCK,1,161831,13060400005,Unilab
PI000000000178,ALLERTA 5MG SYR 30ML,PCS,0,,13060400005,Unilab
PI000000000179,ALLERTA 5MG SYR 60ML,PCS,0,,13060400005,Unilab
